record_id,org_name,street,city,postcode,website,phone,industry,hardness
r0000,Penhale Logistics Ltd,197 High Street,Glasgow,E94 8DE,www.penhalelogistics.co.uk,+44 1818 836002,chemicals,legal_form
r0001,AP Corp,133 Canal Street,Glasgow,N35 3DE,www.ashcroftplastics.co.uk,+44 1920 464631,food-production,acronym
r0002,BE Limited,155 Victoria Road,Dundee,A64 2GD,www.blackwellengineeri.co.uk,+44 1971 873266,engineering,acronym
r0003,Hollingsworth Services PLC,10 Mill Lane,Derby,A93 3HG,www.hollingsworth.co.uk,+44 1983 729484,logistics,common_token
r0004,Oakhampton Services Ltd,171 High Street,Norwich,A83 7JJ,www.oakhampton.co.uk,+44 1539 506872,manufacturing,common_token
r0005,Cavendish Packaging & Co,161 High Street,Dundee,L50 7DF,www.cavendishpackaging.co.uk,+44 1451 135921,food-production,canonical
r0006,LM Limited,185 Mill Lane,Cardiff,D21 5FE,www.langmeremanufactur.co.uk,+44 1780 564455,manufacturing,acronym
r0007,Ashcroft Textiles Inc,140 High Street,Swansea,G87 7DJ,www.ashcrofttextiles.co.uk,+44 1750 172434,chemicals,abbrev
r0008,"Textiles, Penhale Ltd.",199 Mill Lane,Cardiff,B23 5GH,www.penhaletextiles.co.uk,+44 1464 740394,engineering,word_order
r0009,Netherby Logistics LLP,33 Queens Park,Plymouth,L82 6DD,www.netherbylogistics.co.uk,+44 1251 226885,manufacturing,canonical
r0010,Redgate Textiles Ltd.,178 Queens Park,Leeds,E47 7JB,www.redgatetextiles.co.uk,+44 1846 111449,wholesale,legal_form
r0011,Baxter Systems Inc,126 Victoria Road,Norwich,A89 1JJ,www.baxter.co.uk,+44 1342 884159,logistics,common_token
r0012,Redgate Systems Corporation,14 Canal Street,Plymouth,N98 7HJ,www.redgategroup.co.uk,+44 1151 898712,engineering,parent_sub
r0013,Garrick Logistics Ltd,92 Kings Way,Leeds,S96 5HJ,www.garricklogistics.co.uk,+44 1698 300279,manufacturing,legal_form
r0014,ET & Co,158 Canal Street,Bristol,D26 7DF,www.elmhursttextiles.co.uk,+44 1420 206687,manufacturing,acronym
r0015,Oakhampton Logistics,116 Victoria Road,Plymouth,,,,logistics,missing
r0016,Ingleby Systems PLC,97 Station Road,Glasgow,D44 6DD,www.inglebygroup.co.uk,+44 1326 708794,wholesale,parent_sub
